smiles,1,2,3
CCCCn1c(NS(=O)(=O)c2ccccc2)c(C(=O)OCC)c2nc3ccccc3nc21,0.0,,
O=C(CSc1nc(-c2ccc(F)cc2)nc2c1Cc1ccccc1O2)Nc1ccc(C(=O)O)cc1,0.0,,
COCCN1CCN(Cc2c[nH]nc2-c2cc3ccccc3o2)CC1,0.0,,
O=C(O)CN1C(=O)/C(=C\c2cccc(OCc3ccc(Cl)cc3Cl)c2)SC1=S,0.0,,
O=C(NC(Cc1ccccc1)C(=O)Oc1ccc2c(C(F)(F)F)cc(=O)oc2c1)OCc1ccccc1,0.0,,
CC1CCCCC1NC(=O)C1CCCN1S(=O)(=O)c1cccc2nsnc12,0.0,,
O=C(CSc1nccc(O)n1)N1N=C2/C(=C/c3ccco3)CCCC2C1c1ccco1,0.0,,
O=C(NC1CCCCC1)c1cc([N+](=O)[O-])ccc1N1CCCCC1,0.0,,
Cc1ccccc1NC(=O)c1c(C)nc(S)c(C#N)c1-c1ccco1,0.0,,
O=C(/C=C/c1ccccc1)NCCc1ccccc1,0.0,,
N#C/C(=C\c1ccc(Cl)cc1)c1nc(-c2ccco2)cs1,0.0,,
CCOC(=O)CSC1=C(C#N)C(=O)NC(c2ccc(OC)c(OC)c2)S1,0.0,,
CSC(=NC(=O)CSc1nc2ccccc2s1)NS(=O)(=O)c1cccs1,0.0,,
CC(C)CCOC(=O)c1c(N)n(CC2CCCO2)c2nc3ccccc3nc12,0.0,,
CCC(=O)Nc1ccccc1C(=O)OCC(=O)c1ccc2ccccc2c1,0.0,,
COc1ccc(Br)c(-c2nc(CS(=O)(=O)c3ccc(F)cc3)no2)c1,0.0,,
COc1ccc(CN2C(=O)NC(=O)/C(=C/c3ccc([N+](=O)[O-])o3)C2=O)cc1,0.0,,
N#Cc1nc(-c2ccccc2)oc1NCCN1CCCCC1,0.0,,
Cc1cc(C)nc(SCCc2ccncc2)n1.Cl,0.0,,
CCC(NC(=O)c1cc(COc2ccc(OC)cc2Cl)on1)c1ccncc1,0.0,,
COc1ccc(NC(=O)CSc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)cc1,0.0,,
N#Cc1c(NC(=O)c2ccccc2Cl)n(Cc2ccccc2)c2nc3ccccc3nc12,0.0,,
CCOc1ccccc1NC(=O)CSc1ccc(-c2sc(C)nc2C)nn1,0.0,,
COC(=O)c1ccc(NS(=O)(=O)c2cc(C)ccc2OC)cc1,0.0,,
CCS(=O)(=O)N1CCC(C(=O)NCCCN2CCCC2)CC1,0.0,,
O=C(CN1C(=O)S/C(=C\c2cccs2)C1=O)Nc1ccc(O)cc1C(=O)O,0.0,,
COc1cccc(/C=C/c2nc(C#N)c(NCC(C)C)o2)c1,0.0,,
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1.[Na+],0.0,,
COc1ccccc1OP(C)(=O)Nc1ccc(C)cc1C,0.0,,
Cc1ccccc1N1CCN(CCC(=O)Nc2ccc(F)cc2)CC1,0.0,,
O=S(=O)(NCc1ccccc1)c1ccc(Cl)cc1,0.0,,
CC(=O)C(Sc1nn(C)c(=S)s1)C(=O)Nc1ccccc1,0.0,,
CS(=O)(=O)Nc1ccc(C(=O)Nc2ccc3c(c2)OCCO3)cc1,0.0,,
CCCCNC(=O)CCn1nc(-c2ccc(C)cc2)c2ccccc2c1=O,0.0,,
CCOC(=O)CCC(=O)NCc1ccc2c(c1)cc(C)n2C,0.0,,
CCOc1ccc(CCNC(=O)COC(=O)C2CCN(S(=O)(=O)c3ccc(C)c(C)c3)CC2)cc1OCC,0.0,,
O=C(O)c1cccc(N2C(=O)c3cc([N+](=O)[O-])cc4cc([N+](=O)[O-])cc(c34)C2=O)c1,0.0,,
Cc1ccc(NC(=O)c2cc(N3C(=O)C4CC=CCC4C3=O)ccc2N2CCOCC2)cc1Cl,0.0,,
Cc1nn2c(S)nnc2nc1O,0.0,,
Cc1ccccc1C(=O)Nc1ccccc1-c1nnn(CC(=O)Nc2ccc3c(c2)OCCO3)n1,0.0,,
Cc1ccc(C(=O)N/C(=C\c2ccc(-c3cccc([N+](=O)[O-])c3)o2)C(=O)NC(C)(C)C)cc1,0.0,,
N=c1oc2cc(O)ccc2cc1C(=O)Nc1nc2ccccc2s1,0.0,,
Cc1cccc(N2CCN(CC(=O)Nc3ccc(-n4cnnn4)cc3)CC2)c1C,0.0,,
COc1cc(NC(=O)Cc2ccc(Cl)cc2)ccc1NC(=O)c1ccco1,0.0,,
CCCNC(=O)c1c(N)n(CC2CCCO2)c2nc3ccccc3nc12,0.0,,
C=CCN1C(=O)C2(C(C(=O)OCC)=C(N)Oc3ccccc32)C2=C1CCCC2=O,0.0,,
C=C(C)Cc1c(C)c(C#N)c2nc3ccccc3n2c1O,0.0,,
CC(=O)c1ccc(NC(=O)c2noc3c2CCC3)cc1,0.0,,
Cc1cn[nH]c1,0.0,,
CCN1CCN(S(=O)(=O)c2ccc(Cl)nc2)CC1,0.0,,
O=C(OCc1cccc(F)c1)c1ccc2c(=O)n3c(nc2c1)CCC3,0.0,,
COc1ccc(CNC(=O)COC(=O)c2cc(-c3ccco3)nc3ccccc23)cc1,0.0,,
CCC(C(=O)Nc1nc(C)c(C)s1)c1ccccc1,0.0,,
COC(=O)c1ccccc1S(=O)(=O)NNc1ncccc1[N+](=O)[O-],0.0,,
O=C(O)CCCCN1C(=O)/C(=C\c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)SC1=S,0.0,,
